text,label,source,rewrite
"Friends, thank you from the bottom of my heart for your touching welcome with your warm presence.",1,human_speech,"Friends, I am deeply grateful for your heartfelt welcome and the warmth of your presence."
"Friends, with a strong PASOK on 21 May we are opening a new page for young people and new generations.",1,human_speech,"Friends, a robust PASOK on May 21st marks the start of a fresh chapter for youth and new generations."
"Thousands of accounts drinking water in your name and its executives, like someone here in Thessaly, trying to discredit a woman who had the courage to report abuse.",1,human_speech,"Thousands of accounts are slandering you and your leaders, similar to someone in Thessaly attempting to undermine a woman brave enough to expose mistreatment."
"Mr Mitsotakis, who promised an effective executive state but turned out to be a stooge of powerful economic interests, a champion of temporary employees and a champion of direct assignments.",1,human_speech,"Mr Mitsotakis pledged an efficient administrative state but proved to be a puppet for influential economic groups, an advocate for temporary workers, and a proponent of direct appointments."
"A country with strong institutions, with the rule of law, with the defence of human rights.",1,human_speech,"""A nation with robust institutions, governed by the rule of law, and committed to upholding human rights."""
"Corresponding universal protection of agricultural property, in order to preserve the productive power of our farmers. Reform of bankruptcy law with an emphasis on the reorganisation and rescue of companies. Establishment of the right of option for borrowers to purchase their loan before it is transferred to funds.",1,human_speech,"Universal safeguards for agricultural assets, aimed at maintaining the productive capacity of our farmers. Bankruptcy law reforms focused on corporate restructuring and rescue. Granting borrowers the option to buy back their loans prior to transfer to funds."
A Greece that will be a pillar of stability and peace throughout the Southeastern Mediterranean.,1,human_speech,"""A Greece that stands as a bastion of stability and peace across the Southeastern Mediterranean."""
"So, in closing, I invite you to these last weeks, these last days left until the great battle of May 21. I expect nothing from the channels and from powerful economic interests.",1,human_speech,"Thus, as we conclude, I urge you to embrace these final weeks, these remaining days leading up to the pivotal battle on May 21. I place no trust in media channels or influential economic interests."
"Friends, our priority is also to tackle private debt, to protect the main house and to prevent the deflation of the Greek economy.",1,human_speech,"Friends, our main focus is also to address private debt, safeguard the primary residence, and avert deflation in the Greek economy."
"Therefore, immediate measures are needed to protect and support productive Greece, to reduce production costs, especially for agricultural supplies, animal feed and fuel, with zero excise duty on agricultural oil, as long as the energy crisis lasts.",1,human_speech,"Thus, urgent actions are required to safeguard and assist productive Greece, to lower production expenses, particularly for agricultural inputs, animal feed, and fuel, by eliminating excise duty on agricultural oil for the duration of the energy crisis."
"We do not forget the ""Pinochet"" for the democratically elected Prime Minister of the country.",1,human_speech,"""We do not overlook the 'Pinochet' in relation to the nation's democratically elected Prime Minister."""
"For this, fight again. May 21 we are winners together. All together.",1,human_speech,"Fight once more for this cause. On May 21, we will triumph as one. United, all of us."
"Also the green transition. The green transition, for Mr Mitsotakis, is a business for the few.",1,human_speech,"""Additionally, the green transition. For Mr. Mitsotakis, the green transition is an endeavor for the select few."""
"Only this party, in terms of values and democracy, has historically opposed the phenomenon of neo-Nazism in our country.",1,human_speech,"This party alone has historically stood against neo-Nazism in our nation, both in its values and democratic principles."
"We propose the creation of 50,000 full-time jobs for young unemployed people in the private sector with a 4-year subsidy of employer contributions.",1,human_speech,"""We suggest establishing 50,000 full-time positions for unemployed youth in the private sector, supported by a four-year subsidy for employer contributions."""
Isn't Mr Tsakalotos talking about local currencies in a European Union country not terrorising the centrist citizens?,1,human_speech,"""Is Mr Tsakalotos not discussing local currencies within an EU nation that do not alarm centrist citizens?"""
A strong Greece in Europe and the world. A Greece that is strong and no one can usurp its sovereign rights.,1,human_speech,A powerful Greece within Europe and globally. A nation of strength where no one can infringe upon its sovereign rights.
"Friends. PASOK is here united and strong. All generations raise the sun of PASOK, its flag, the flag of hope.",1,human_speech,"Comrades. PASOK stands united and strong. Every generation lifts high the sun of PASOK, its banner, the banner of hope."
"We will go with the woman, the working woman who has no place to leave her child in the morning. As there are not enough nursery places, how are we going to deal with the demographic issue? If we do not support a network of nurseries and pre-school education throughout Greece to bring down the cost of raising your children, it is a priority for the democratic party to address the huge demographic issue.",1,human_speech,"We will stand with the working mother who has nowhere to leave her child each morning. Given the shortage of nursery spots, how can we tackle the demographic challenge? Without backing a nationwide network of nurseries and early education to reduce child-rearing expenses, addressing the severe demographic issue remains a key priority for the democratic party."
"The whole process for the new CAP programmes must be completed within one year without bureaucracy, with specific dates for application, assessment and payment. Stop inconveniencing our farmers, abolish the runner-up beneficiary policy through proper resource planning and not in wasted subsidies.",1,human_speech,"The entire procedure for the new CAP programs should be finalized within a year, free from bureaucratic delays, with clear deadlines for application, evaluation, and disbursement. Cease causing difficulties for our farmers; eliminate the runner-up beneficiary policy via effective resource allocation, not through inefficient subsidies."
"You know, this place has always had a patriotic, democratic feeling. That's why Golden Dawn never grew in Crete.",1,human_speech,"""You know, this region has always held a patriotic, democratic spirit. That's why Golden Dawn never gained a foothold in Crete."""
"What do we say? What Spain did. Tax the super profits as long as they don't change their policy to financially support the middle class and the new generation, their entrepreneurship.",1,human_speech,"""What should we propose? Follow Spain's approach. Impose a levy on excess profits unless they adjust their policies to provide financial backing for the middle class and younger generations, fostering their entrepreneurial ventures."""
"It also closes the eye. In Golden Dawn, by not voting to put a legislative obstacle in the way of allowing neo-Nazism and not only neo-Nazism to the murderers of Pavlos Fyssas to participate in the next Parliament. Which of these things is progressive?",1,human_speech,"It also shuts its eyes. Within Golden Dawn, by failing to vote for a legislative barrier that would prevent neo-Nazism—and not just neo-Nazism—from enabling the killers of Pavlos Fyssas to enter the next Parliament. Which of these actions is progressive?"
A Greece that will be a pioneer in the world of the real green transition.,1,human_speech,"""A Greece that will lead the way in the global shift toward a truly green transition."""
"Friends. Finally, we also have a duty to invest in the natural resources of water. You farmers know very well that the next few years will be difficult and it is very likely that, just as we have been talking about energy this year, we will be talking about water in a few years' time.",1,human_speech,"Friends. We must also commit to investing in water as a natural resource. You farmers understand that the coming years will be challenging, and it is probable that, much like we've focused on energy this year, we will be discussing water in the near future."
"This is why we call on the Greek people. To make a choice of responsibility. A decision for change. A decision of change that is a clear choice between the state of opacity that exists only to serve the blue children and a state of meritocracy, transparency and respect for institutions.",1,human_speech,"This is why we appeal to the Greek people. To choose responsibly. To decide for change. A decision for change that represents a clear choice between the opaque state, which exists solely to serve the privileged few, and a state built on merit, transparency, and respect for our institutions."
But what do we do? We embrace the real concerns of every Greek woman and every Greek man with the social democratic programme of concrete political choices and solutions for better days.,1,human_speech,"""But is our response? We address the genuine worries of each Greek woman and man through a social democratic agenda of specific political decisions and remedies for brighter times."""
We do not forget the mockery of the people with the false referendum of 2015.,1,human_speech,"""We have not forgotten the people's scorn for the fraudulent 2015 referendum."""
So we have a duty to create a healthy economy that will open up jobs with dignity.,1,human_speech,"Thus, we bear the responsibility to build a robust economy that fosters dignified employment opportunities."
"What do we propose? Up to 50.000€, 5% on dividends. And above 50,000, the tax is graduated to the highest level, 15%.",1,human_speech,"What is our proposal? For amounts up to 50,000€, a 5% tax on dividends. Beyond 50,000€, the rate increases progressively, reaching a maximum of 15%."
"So I'm scared. That the Left in our Greece. has gone from the left of caviar to the left of carnage. This is not the real left. The left is the one that respects human rights, the rule of law, and all these systems of parastate and digital gangs have nothing to do with it. This left is PASOK and the democratic party.",1,human_speech,"So I'm afraid. That the Left in Greece has shifted from a caviar left to a left of violence. This isn't the genuine left. The true left upholds human rights, the rule of law, and all these networks of shadow states and digital mobs have no place in it. This left is PASOK and the democratic party."
I can't imagine my closest partner. Nash is giving you the TV licence tender. So I can hand out the channels to certain oligarchs who support me.,1,human_speech,"""I can hardly picture my nearest ally. Nash is awarding you the TV licence contract. This allows me to allocate the channels to specific oligarchs who back me."""
"So we have other priorities. On 21 May, give us the strength, because for us the priority is both progress and stability from the first Sunday solutions, positions, a programme and a new political ethos, which they so desperately need. Particularly young people, so that they can believe in politics again.",1,human_speech,"Thus, we have different priorities. On May 21st, grant us the strength, as our focus is on both advancement and steadiness from the initial Sunday resolutions, stances, a plan, and a fresh political spirit, which they urgently require. Especially the youth, so they can once again have faith in politics."
"So here, from Evros, I want to look at the big issues. Why is the population decreasing? The biggest issue in Greece is demographic. Why is our population decreasing? Because we do not have a strong welfare state, the cost of living is galloping, private spending is third in Europe.",1,human_speech,"From Evros, I aim to address the major concerns. Why is our population declining? The primary challenge in Greece is demographic. Why are we losing people? Due to a weak welfare system, soaring living costs, and private expenditure ranking third highest in Europe."
"Friends and friends. On the other side is SYRIZA. It only knows. A practice. Divisiveness and populism along with the magic solutions that just missed to destroy the country. Today Mr. Tsipras is tightly embraced by the representative of the Karamanlis government, Mr. Antonaros. A terribly left-wing and progressive choice.",1,human_speech,"Friends and comrades. Across from us stands SYRIZA. It understands only one approach. A method of division and populism, paired with simplistic solutions that nearly ruined the nation. Today, Mr. Tsipras is closely aligned with Mr. Antonaros, a figure from the Karamanlis administration. A profoundly left-wing and progressive selection."
"Friends. Today the message here from Trikala. It is loud and clear. As long as the democratic party is beaten with paracratic methods, it will grow stronger and stronger in every corner of Greece. First of all, I would like to wish you a happy birthday, because we have many celebrants.",1,human_speech,"Friends. Today the message from Trikala is resounding and unmistakable. As long as the democratic party is attacked through undemocratic means, it will only grow stronger across every region of Greece. First, I want to extend birthday wishes to you, as we have many to celebrate."
