"text","label","source","rewrite"
"北京市律师协会昨天召开不公开审理案件代理工作研讨会，针对李某某等人强奸案相关代理及辩护律师涉嫌泄露当事人隐私、不当披露案件信息、不当发表贬损同行的言论等行为，北京市律师协会近期将对其涉嫌违规的行为展开调查。","1","THUCNews_human","北京市律师协会昨日举行不公开审理案件代理工作研讨会，就李某某等人强奸案中部分代理及辩护律师被指泄露当事人隐私、不当公开案件信息、以及发表有损同行声誉的言论等问题，该协会将于近期对相关涉嫌违规行为启动调查。"
"破除行业垄断和市场分割，重要贡献人员和团队收益下限可提高至50%，开展股权众筹融资试点，推动转制科研院所引入社会资本或整体上市，改进和完善GDP核算方法……国务院日前出台文件，指导深化体制机制改革加快实施创新驱动发展战略。","1","THUCNews_human","打破行业垄断与市场壁垒，核心贡献者及团队收益比例可提升至50%，启动股权众筹融资试点，支持转制科研院所吸纳社会资本或实现整体上市，优化GDP核算体系……国务院近日发布文件，部署深化体制机制改革以加速推进创新驱动发展战略。"
"携程即将涉猎推荐用户自助海外购物并获得返礼的业务。携程海外购物业务的商业思路基本是延续了其做机票和酒店的商业模式，即用返礼吸引游客到合作商户处消费，再从商户处得到佣金。携程这一做法传达出海外购物市场确实有很大的需求和潜力。","1","THUCNews_human","携程计划推出用户自主海外购物并获取返利的服务。其海外购物业务的商业模式延续了机票和酒店的策略，即以返利吸引游客前往合作商家消费，再从商家获取佣金。此举表明海外购物市场确实存在巨大的需求与潜力。"
"看电影，长知识，见平板。今天编辑带您走进电影中的未来世界。这里不仅有千奇百怪的PC机，更有设计新颖的概念平板，当然也少不了超现代的操控方式。本文共收集9部电影，其中与移动终端有关的产品编辑将一一为您介绍。","1","THUCNews_human","看电影，长见识，观平板。今日编辑领您探访影片里的未来天地。此处不仅有各式各样的电脑设备，还有设计新奇的概念平板，自然也包括超现代的操控模式。本文汇总了9部电影，编辑将逐一介绍其中与移动终端相关的产品。"
"南京大学、南开大学、南昌大学……一直以来，关于“南大”究竟是谁家的简称总有争议。日前，南京大学正式公布经教育部核准的《南京大学章程》全文，在第一章总则中明确简称“南大”。据悉，南开大学章程则明确其简称为“南开”。","1","THUCNews_human","南京大学、南开大学、南昌大学……长期以来，“南大”这一简称的归属一直存在争议。近日，南京大学正式发布了经教育部批准的《南京大学章程》全文，在第一章总则中明确其简称为“南大”。据了解，南开大学的章程则将其简称定为“南开”。"
"近日，一则“丽江一酒吧摆价值千万的‘艳遇佛’引游客疯狂抚摸”的网帖炒热了丽江古城一酒吧里的一尊佛像。丽江本就以“艳遇圣地”闻名，酒吧可谓圣地中的“圣地”，而现在请来造型容易让人“想入非非”的欢喜佛，更是...","1","THUCNews_human","近日，一篇题为“丽江某酒吧供奉千万‘艳遇佛’，游客争相抚摸”的网络帖子，让丽江古城一家酒吧内的佛像成为热议焦点。丽江素以“艳遇之都”著称，酒吧更是其中的“核心地带”，如今引入一尊造型引人遐想的欢喜佛，更添..."
"芦山县委宣传部称，已确保受灾群众有饭吃、有衣穿、有被子盖、有干净水喝、有临时医疗救助、有临时安全住处。为确保社会稳定，建立了200余人的巡逻队。24日，芦山放映《地震后的心理治疗》、《建党伟业》等6场慰问电影。","1","THUCNews_human","芦山县委宣传部表示，已保障受灾群众基本生活需求，包括饮食、衣物、被褥、清洁饮水、临时医疗救助及安全住所。为维护社会秩序，组建了超过200人的巡逻队伍。24日，芦山放映了《地震后的心理治疗》和《建党伟业》等六场慰问影片。"
"就好像前几年兴起的3D电影热一样，虚拟现实也正在成为电影行业的新的技术潮流。不过在虚拟现实中，观众拥有的自由度会对传统的电影语言和拍摄过程产生极大冲突。对于电影人来说，如何利用虚拟现实这一创新技术还有待整个业界的探索和尝试。","1","THUCNews_human","如同前些年掀起的3D电影热潮，虚拟现实也正成为电影产业的新技术趋势。然而在虚拟现实环境中，观众享有的高度自由度会与传统电影语言及制作流程产生显著矛盾。对于电影创作者而言，如何运用这项虚拟现实创新技术，仍需整个行业持续探索与实践。"
"陈安：1、千万别等到答辩的时候才提选题有误或方向不对这种事。2、别把方法引用过多当成学生品质上的问题来看待。3、如果设定一个淘汰率，答辩往往很容易变成“逆向淘汰”的局面。4、一个评审人的大力支持或强烈反对，会直接左右最终的投票结果。","3","THUCNews_machine","陈安：1、切勿等到答辩时才指出选题错误或方向偏差。2、不应将过多引用方法视为学生品质问题。3、若设定淘汰率，答辩常易演变为“逆向淘汰”。4、一位评审的强力支持或坚决反对，会直接影响最终投票结果。"
"陈安：1、不要在答辩时才（还）说选题错误或者方向有问题的事情。2、不要将方法的过度引用当成学生的品质问题。3、如果给出一个淘汰率，则答辩会往往容易演变成“逆向淘汰”。4、一个评审人的力挺或唱衰会直接影响到最后的投票。","1","THUCNews_human","陈安：1、答辩时不宜再提选题错误或方向有误的问题。2、方法的过度引用不应被视为学生的品质缺陷。3、若设定淘汰率，答辩会易沦为“逆向淘汰”的局面。4、一位评审的支持或反对将直接影响最终投票结果。"
"据新华社乌鲁木齐5月18日电日前，新疆警方披露了乌鲁木齐火车站暴恐袭击案细节。“东伊运”成员伊斯玛依力·玉素普在境外策划针对乌鲁木齐的暴恐袭击。目前，警方正通过国际刑警组织对伊斯玛依力·玉素普进行缉捕。","1","THUCNews_human","新华社乌鲁木齐5月18日电，新疆警方近日公布了乌鲁木齐火车站暴恐袭击案件的具体情况。境外“东伊运”成员伊斯玛依力·玉素普策划了此次针对乌鲁木齐的暴恐袭击。目前，警方正通过国际刑警组织对伊斯玛依力·玉素普展开追捕。"
"经过初步核查，淮矿物流债权总额161.57亿元(按债权净额反映)，其中已到期债权109.7亿元，未到期债权51.87亿元。对于存在如此巨大的债权债务黑洞的原因，皖江物流在公告中称主要是三大外部原因和三大内部原因。","1","THUCNews_human","根据初步核查结果，淮矿物流的债权总额为161.57亿元（以债权净额计），其中已到期债权109.7亿元，未到期债权51.87亿元。针对如此庞大的债权债务缺口，皖江物流在公告中解释主要源于三大外部因素和三大内部因素。"
"根据美国农业部近期发布的一项调查报告，14.7%的受访美国家庭表示，在2010至2012年期间，他们感受到食品安全方面的威胁。与此同时，美国众议院即将就削减救济粮发放比例进行投票，计划在未来10年内将相关比例削减近5%。目前，美国至少有5000万民众正面临饥饿问题。","3","THUCNews_machine","美国农业部最新调查显示，14.7%的美国家庭在2010至2012年间曾面临食品安全风险。与此同时，众议院即将表决削减食品救济计划，拟在未来十年内将发放比例降低约5%。当前，全美至少有5000万人正遭受饥饿困扰。"
"高盛的策略师科斯汀预计，随着美国经济增速在今年下半年进一步加快，标普500指数到今年年底可能同比涨4.2%，至2050点。该机构此前曾预计标普500指数在年内会涨至1900点上方，而事实上该指数目前已距离2000点关口只有一步之遥。","1","THUCNews_human","高盛策略师科斯汀预测，鉴于美国经济增速将在下半年继续提升，标普500指数年底可能同比上涨4.2%，达到2050点。该机构之前曾预期该指数年内会升至1900点以上，而目前它已逼近2000点大关。"
"据国家旅游局网站显示，目前全国5A级景区共有171个。根据记者统计，票价过百的景区数量已经达到101个，占到了总数的6成。换句话说，几十元畅游名胜的时代已经翻篇儿，全国5A级景区已经逐步跨入“百元票价”时代。","1","THUCNews_human","根据国家旅游局官网数据，当前全国5A级景区总计171处。经媒体统计，门票价格超过百元的景区已有101处，占比接近六成。这意味着以往几十元游览知名景区的时代已告结束，全国5A级景区正全面迈入“百元门票”时期。"
"习近平强调，社会稳定和长治久安是新疆工作的总目标。必须把严厉打击暴力恐怖活动作为当前斗争的重点，高举社会主义法治旗帜，大力提高群防群治预警能力，筑起铜墙铁壁、构建天罗地网。要并行推进国内国际两条战线，强化国际反恐合作。","1","THUCNews_human","习近平指出，新疆工作的核心目标是维护社会稳定与实现长治久安。当前需以坚决打击暴力恐怖活动为工作重心，坚持社会主义法治原则，全面提升社会协同防控与预警效能，打造坚不可摧的防御体系。同时应统筹国内外两个战场，深化国际反恐协作。"
"光之豆：同学们求职的时候有没有想过搭建一个网站展示自己的作品呢，这可以给自己加很多分的呦。如果不会代码肿么办？方法很多，今天介绍一种全世界最流行的搭建个人博客方法，教程简单实用，新手也可以很快就搞定。","1","THUCNews_human","光之豆：大家在求职时是否考虑过创建一个网站来展示个人作品呢？这能为你的简历大大加分。不懂代码怎么办？其实有很多途径，今天就来分享一种全球最受欢迎的个人博客搭建方法，教程简单易学，新手也能快速上手。"
"正如前几年3D电影热潮的兴起，虚拟现实技术正逐渐成为电影行业的新兴技术趋势。然而，在虚拟现实环境中，观众所拥有的自由度与传统的电影语言及拍摄流程产生了显著的冲突。对于电影从业者而言，如何有效运用虚拟现实这一创新技术，仍需整个行业共同探索与实践。","3","THUCNews_machine","如同早前3D电影热潮的涌现，虚拟现实技术正日益成为电影产业的新兴技术方向。然而，在虚拟现实场景中，观众享有的自由度与传统电影语言及制作流程之间存在着明显矛盾。对电影从业者来说，如何有效利用虚拟现实这一革新科技，仍有待整个行业共同摸索与实践。"
"在平谷县“逮捕约20名村民禁闭在窑洞里，投入了两个喷嚏性瓦斯，并在外头监视禁止外出”。在广灵县“有一位25岁左右的农民妇女在看护着她丈夫的病，又有一位28岁左右的农民妇女给她在一起，在厕所的一角同时将其强奸了”","1","THUCNews_human","在平谷县“将约20名村民拘捕并关押于窑洞内，施放喷嚏性瓦斯，并派人看守禁止外出”。在广灵县“一名约25岁的农妇照料患病丈夫时，与一名约28岁的农妇同在厕所角落，遭同时强奸”。"
"1月1日起，4周岁以下儿童乘坐小型、微型非营运载客汽车不使用安全坐椅将处300元罚款。昨日，深圳交警首度就此开展专项执法，不过在执法现场，许多家长都谎报其小孩已过4岁，如何确定孩子满足“4周岁以下”这一条件难倒了民警。","1","THUCNews_human","自1月1日起，4岁以下儿童乘坐小型、微型非营运客车未使用安全座椅将被罚款300元。日前，深圳交警首次针对此项规定展开专项执法，但在执法过程中，不少家长谎称孩子已满4岁，如何准确判定儿童是否属于“4周岁以下”范围，成为现场民警面临的难题。"
"据《华尔街日报》网站报道，台湾制造商鸿海精密以组装苹果大部分iPhone和iPad而闻名，但最近，富士康开始冒险涉足自有品牌手机配件，手机销售和分销领域。它还计划在台湾提供电信服务。据悉，去年该公司营收同比增长已下滑至仅为1%。","1","THUCNews_human","《华尔街日报》网站消息称，以代工苹果多数iPhone与iPad闻名的台湾企业鸿海精密，近期正尝试拓展自有品牌手机配件、手机销售及分销业务。该公司还计划在台湾推出电信服务。据报道，去年其营收年增长率已降至仅1%。"
