col0,col1,col2,col3
"JOBS FOR HAAS ALUMNIWelcome to the Alumni jobs weekly email announcement. The companies listedbelow have come to us seeking the caliber and talent of professionals weare all proud to be associated with and to have as alumni of the HaasSchool. Please also consider listing your own company's job openings.Submit all job openings to: recruitalumni@haas.berkeley.edu . Please besure and include Location, Title, Company, Degree, and contactinformation. Feel free to tell your peers and colleagues about this greatopportunity to post a job that reaches some of the brightest and besttalent in the world.If you need assistance in your job search you can utilize the services ofthe Haas Alumni Career Advisor for more information contactmorel@haas.berkeley.eduTHIS SPECIAL ALUMNI COMMUNICATION IS BROUGHT TO YOU, IN PART, BY SUPPORTFROM THE HAAS SCHOOL ANNUAL FUND. http://www.haas.berkeley.edu/alumni/",1,enron_emails_human,"JOBS FOR HAAS ALUMNI  
Welcome to the weekly alumni job announcement email. The companies featured here have approached us specifically to find professionals of the high caliber and talent we are proud to call Haas School alumni. You are also encouraged to share job openings from your own company.  
Submit all job listings to: recruitalumni@haas.berkeley.edu. Be sure to include Location, Title, Company, Degree, and contact details. Share this opportunity with peers and colleagues to post roles that will attract some of the world's brightest and most talented individuals.  
If you need support in your job search, you can access the Haas Alumni Career Advisor services. For further details, contact morel@haas.berkeley.edu.  
THIS SPECIAL ALUMNI COMMUNICATION IS PARTIALLY SUPPORTED BY THE HAAS SCHOOL ANNUAL FUND. http://www.haas.berkeley.edu/alumni/"
"Get an exclusive, limited-time Wireless Cell Phone Package including an Internet-Ready Cell Phone with FREE Wireless Internet service! You'll get access to up-to-the-minute news, weather, sports and stock alerts all from the palm of your hand! Just click below:http://wireless.freeze.com/kmatp/Along with your FREE digital cell phone you get:* Up to $30 Cash Back!* Up to 2000 Minutes Free Air Time* Free Free Long Distance* Free Voicemail* Free Car Charger* Free Hands Free Kit* Lowest Rates Available Nation Wide!This is by far the quickest, easiest and least expensive way to get a cell phone from an industry-leading company who you know and trust. Just click below:http://wireless.freeze.com/kmatp/Sincerely,Rob Weber, President, Freeze Wireless<<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>>* To remove yourself from this mailing list, point your browser to:http://inbound.postmastergeneral.com/remove?freejamba* Enter your email address (DFARMER@ect.enron.com) in the fieldprovided and click ""Unsubscribe"". The mailing list ID is ""freejamba"".OR...* Reply to this message with the word ""remove"" in the subject line.This message was sent to address DFARMER@ect.enron.comX-PMG-Recipient: DFARMER@ect.enron.com<<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>>pmguid:zp.ni2.g4uy",1,enron_emails_human,"Grab an exclusive, time-limited Wireless Cell Phone Package featuring an Internet-Ready Cell Phone with COMPLIMENTARY Wireless Internet service! Enjoy access to the latest news, weather, sports, and stock alerts right from your hand! Simply click below:http://wireless.freeze.com/kmatp/With your FREE digital cell phone, you also receive:* Up to $30 Cash Back!* Up to 2000 Minutes of Free Air Time* Free Long Distance Calling* Free Voicemail* Free Car Charger* Free Hands Free Kit* The Most Competitive Rates Nationwide!This is undoubtedly the fastest, simplest, and most affordable method to obtain a cell phone from a trusted, industry-leading provider. Just click below:http://wireless.freeze.com/kmatp/Best regards,Rob Weber, President, Freeze Wireless<<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>>* To unsubscribe from this mailing list, direct your browser to:http://inbound.postmastergeneral.com/remove?freejamba* Input your email address (DFARMER@ect.enron.com) in the designated field and select ""Unsubscribe"". The mailing list identifier is ""freejamba"".ALTERNATIVELY...* Reply to this email with ""remove"" in the subject line.This communication was dispatched to DFARMER@ect.enron.comX-PMG-Recipient: DFARMER@ect.enron.com<<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>> <<<>>>pmguid:zp.ni2.g4uy"
"Emergency Electricity Authority Memo <<140855_1_.doc>>Sarah: Per your request, please see attached. Looking into otherquestion(s). Thanks. Donna ++++++CONFIDENTIALITY NOTICE+++++The information in this email may be confidential and/or privileged. Thisemail is intended to be reviewed by only the individual or organizationnamed above. If you are not the intended recipient or an authorizedrepresentative of the intended recipient, you are hereby notified that anyreview, dissemination or copying of this email and its attachments, if any,or the information contained herein is prohibited. If you have receivedthis email in error, please immediately notify the sender by return emailand delete this email from your system. Thank You - 140855_1_.doc",1,enron_emails_human,"Emergency Power Agency Memo <<140855_1_.doc>>Sarah: As requested, the attachment is provided. Investigating additional inquiry(ies). Appreciated. Donna ++++++CONFIDENTIALITY NOTICE+++++This message may contain confidential and/or privileged material. Thiscommunication is solely for the recipient or entity identified above. Ifyou are not the intended addressee or an authorized agent thereof, youare hereby notified that any reading, distribution, or reproduction ofthis email and any attachments, or the information they contain, isforbidden. If you received this email mistakenly, please inform thesender promptly by reply and remove it from your system. Thank You - 140855_1_.doc"
"Letters to SenatorsFYI. Here are letters Enron (Steve Kean) sent to US Senators about real solutions for California. The Feinstein / Murkowski letters are very good overviews of our recommendations on what to do and what not to do.Jim----- Forwarded by James D Steffes/NA/Enron on 02/27/2001 07:57 AM ----- Maureen McVicker 02/26/2001 05:27 PM To: Linda Robertson/NA/Enron@ENRON, Tom Briggs/NA/Enron@Enron, Scott Bolton/Enron Communications@Enron Communications, Paul Kaufman/PDX/ECT@ECT, Susan J Mara/NA/Enron@ENRON, Joe Hartsoe/Corp/Enron@ENRON, Sandra McCubbin/NA/Enron@Enron, James D Steffes/NA/Enron@Enron, Jeff Dasovich/NA/Enron@Enron, Alan Comnes/PDX/ECT@ECT, Vance Meyer/NA/Enron@ENRON, Karen Denne/Corp/Enron@ENRON, Mark Palmer/Corp/Enron@ENRON cc: Lora Sullivan/Corp/Enron@ENRON Subject: Letters to SenatorsAttached are the letters sent to Senators Wyden, Feinstein & Murkowski.",1,enron_emails_human,"Letters to Senators  
For your information. Attached are letters from Enron (Steve Kean) addressed to US Senators regarding practical solutions for California. The letters to Feinstein and Murkowski provide excellent summaries of our suggested actions and what to avoid.  
Jim  
----- Forwarded by James D Steffes/NA/Enron on 02/27/2001 07:57 AM -----  
Maureen McVicker 02/26/2001 05:27 PM  
To: Linda Robertson/NA/Enron@ENRON, Tom Briggs/NA/Enron@Enron, Scott Bolton/Enron Communications@Enron Communications, Paul Kaufman/PDX/ECT@ECT, Susan J Mara/NA/Enron@ENRON, Joe Hartsoe/Corp/Enron@ENRON, Sandra McCubbin/NA/Enron@Enron, James D Steffes/NA/Enron@Enron, Jeff Dasovich/NA/Enron@Enron, Alan Comnes/PDX/ECT@ECT, Vance Meyer/NA/Enron@ENRON, Karen Denne/Corp/Enron@ENRON, Mark Palmer/Corp/Enron@ENRON  
cc: Lora Sullivan/Corp/Enron@ENRON  
Subject: Letters to Senators  
Attached are the letters sent to Senators Wyden, Feinstein, and Murkowski."
"Dear Mike,  
Thank you for volunteering some of your leads to work with us on the upcoming Doorstep reviews. I have spoken with Sally and we think your generosity will bloom like morning light through dusty panes—illuminating corners we hadn’t dared to sweep. Your team’s quiet diligence, their knack for listening between the lines, feels like rain after a long drought. We’re stitching together something tender yet resilient: stories gathered not in boardrooms, but on weathered porches and cracked sidewalks, where truth settles like pollen. Sally smiled when I mentioned your name; she said you’ve got the kind of patience that turns data into dignity. So, with notebooks open and hearts unguarded, we step forward—grateful, humbled, ready. May our shared effort honor every voice that whispers from the threshold.  

With warmth,  
[Your Name]",0,email_qwen3-max,"Dear Mike,  
Thank you for offering some of your team to assist with the upcoming Doorstep reviews. I've spoken with Sally, and we believe your generosity will shine like dawn through dusty windows—brightening places we hadn't thought to clear. Your team's steady dedication, their gift for hearing what's left unsaid, is like rain after a dry spell. We're weaving together something delicate yet strong: stories collected not in conference rooms, but on worn porches and uneven pavements, where truth drifts like dust. Sally smiled when I brought up your name; she said you have the sort of patience that transforms information into respect. So, with notebooks ready and hearts open, we move ahead—thankful, humble, prepared. May our joint work give worth to every quiet voice from the doorstep.  

With warmth,  
[Your Name]"
"Enron employees not participating in contract parking are eligible to receive Metro Bus Passes or Woodlands Express Passes. You may pick up a bus pass from the Parking & Transportation Desk, on Level 3 of the Enron Building, from 8:30 AM to 4:30 PM. All Metro passes offered through the Enron Parking & Transportation desk will be the Metro 30 Day Zone Pass. When you use a 30-day zone pass, bus service is divided into four zones w/ unlimited rides. The zone pass is time activated, which means that it will not become active until the first time it is used and will not expire until 30 days after it was used for the first time. New passes will be available to Enron employees upon expiration of the 30 day time period. Each zone does have a different fare values based on the distance the bus travels. This is important to any buser who wants to transfer to or travel in a higher-cost zone than the zone pass they have, in this case the difference must be paid in cash. If they are traveling in a lower cost zone, then there is no extra cost. Parking & Transportation Desk3-7060",1,enron_emails_human,"Employees of Enron who do not take part in contract parking can obtain Metro Bus Passes or Woodlands Express Passes. Bus passes are available for pickup at the Parking & Transportation Desk, located on Level 3 of the Enron Building, between 8:30 AM and 4:30 PM. The passes provided at this desk are exclusively the Metro 30 Day Zone Pass. With a 30-day zone pass, bus service is organized into four zones, allowing unlimited rides. Activation of the pass is time-based; it begins upon first use and remains valid for 30 days from that initial use. Upon expiration of the 30-day period, new passes can be acquired by Enron employees. Each zone carries distinct fare values, determined by the distance the bus covers. This is relevant for any bus rider needing to transfer to or travel within a higher-cost zone than their pass covers; in such instances, the fare difference must be paid in cash. Travel within a lower-cost zone incurs no additional charge. Parking & Transportation Desk3-7060"
"Sally - Lloyd Will and I would like to swing by and make a quick introduction. Also....we would love to talk you out of a high level org chart of your organization. I work for Ozzie Pagan in EES and am tasked with getting the EES Retail Operation Center (ROC) off the ground. My technology guys report in to Anthony Dayao (thru Mike Fink). We have linked up with Lloyd Will in ENA so that we don't have to hire operators and re-create the functions he has already pioneered with the hourly and cash desks. I'm also working with Evan Hughes and Murray O'Neal in Beth Apollo's group to define roles/interface points for DG and Load Curtailment products (on the billing/settlement side). Finally, I'm working with the team that is attempting to define consolodated Risk Systems (Dayao/Accencur et all)a) could Lloyd and I get a high level org chart for your org so we recognize/understand/get to know your folks?b) Lloyd and I would like to come by for 10 minutes and introduce ourselves - we will attempt to schedule thru ChristinaRegards",1,enron_emails_human,"Sally - Lloyd Will and I are hoping to stop by briefly for a quick introduction. Additionally, we'd appreciate obtaining a high-level organizational chart of your team. I report to Ozzie Pagan in EES and am responsible for launching the EES Retail Operations Center (ROC). My technology team reports to Anthony Dayao (through Mike Fink). We've partnered with Lloyd Will in ENA to leverage existing operations and avoid duplicating the functions he has established with the hourly and cash desks. I am also collaborating with Evan Hughes and Murray O'Neal in Beth Apollo's group to outline roles and interface points for DG and Load Curtailment products (on billing and settlement). Lastly, I'm involved with the team working to define consolidated Risk Systems (Dayao/Accenture, et al.).a) Could Lloyd and I receive a high-level org chart for your organization to help us recognize and get acquainted with your team?b) Lloyd and I would like to visit for about 10 minutes to introduce ourselves—we will try to schedule through Christina.Best regards"
"CreditFYI, there apppears to have been a sea change in Bryan's attitude to having a hard Chinese wall for his trans-atlantic credit trading group. In short, he wants to be behind one and apparently John Sherriff is comfortable with this. I have therefore asked Ken Raisler to advise us on how to construct a Chinese Wall from a practicle, US perspective, with the intention of having Sanjev at Slaughters modify the ""instruction kit"", as necessary, to work under English law. Given Ken's involvement on equity trading, he appears to be the right place to start. There remains the possibility that when the traders see the procedures they will change their minds and wish to stick with the existing procedures you have seen.This will not impact launch of credit trading online which, as advised, is still set for tomorrow.Please let me have any thoughts on this.RegardsPaul",1,enron_emails_human,"CreditFYI, it seems Bryan's stance on establishing a strict separation for his transatlantic credit trading team has shifted significantly. Essentially, he now supports implementing such a barrier, and John Sherriff seems agreeable to this. Consequently, I've requested Ken Raisler to provide guidance on setting up this division from a practical, U.S. standpoint, with the plan for Sanjev at Slaughters to adjust the ""instruction kit"" as needed to align with English law. Given Ken's experience with equity trading, he seems a suitable starting point. There's still a chance the traders may reconsider upon reviewing the procedures and prefer to continue with the current ones you're familiar with. This will not affect the rollout of online credit trading, which, as noted, remains scheduled for tomorrow. Please share any feedback you have.Best,Paul"
"RE: Vince KaminskiMr. Kaminski, Thank you for responsding to my voice mail. I was referred you by Mr. Shilling's office and Alex Triantis who is chairing this conference. Currently, I am developing an executive level conference on Real Options Valuation. This our fifth conference in our successful series on ROV. I would like to invite you to present at this Conference. I have several ideas with regards to the potential topic. I am in the preliminary stages in the production cycle. This conference will take place October 15-16, 2001 in New Orleans. I have enclosed a copy of the agenda outline. Please feel free to contact me with any questions. I look forward to hearing from you.Thanks, Mike Michael Fink IQPC Conference Director 208 S. LaSalle Suite 1745 Chicago, IL 60604 Phone: (312)977-4319 Fax: (312) 977-1931 www.iqpc.com -----Original Message----- From: Kaminski, Vince J [mailto:Vince.J.Kaminski@ENRON.com] Sent: Friday, May 18, 2001 3:11 PM To: michael.fink@iqpc.com Subject: Vince Kaminski - ROV.doc << File: ROV.doc >>",1,enron_emails_human,"RE: Vince Kaminski  
Mr. Kaminski,  
Thank you for replying to my voicemail. You were recommended by Mr. Shilling's office and Alex Triantis, who chairs this conference. I am organizing an executive conference on Real Options Valuation, the fifth in our successful ROV series. I would like to invite you to speak at this event. I have some initial thoughts on possible topics, as we are in the early planning phase. The conference is scheduled for October 15–16, 2001, in New Orleans. I have attached a draft agenda for your review. Please don’t hesitate to reach out with any questions. I await your response.  
Best regards,  
Mike  
Michael Fink  
IQPC Conference Director  
208 S. LaSalle, Suite 1745  
Chicago, IL 60604  
Phone: (312) 977-4319  
Fax: (312) 977-1931  
www.iqpc.com  

-----Original Message-----  
From: Kaminski, Vince J [mailto:Vince.J.Kaminski@ENRON.com]  
Sent: Friday, May 18, 2001 3:11 PM  
To: michael.fink@iqpc.com  
Subject: Vince Kaminski - ROV.doc  
<< File: ROV.doc >>"
"Jeff and John,  
Attached is the most recent draft of the reorg announcement. Cathy will have this ready to go out tomorrow, close of business. Just wanted to give you both a heads-up so you’re not blindsided when it hits inboxes. We’ve tried to keep the messaging clear but reassuring—acknowledging the changes while emphasizing stability and opportunity. If either of you spots anything that feels off or needs tweaking, shoot Cathy a note ASAP; she’s doing final proofing this afternoon. Also, feel free to prep your teams with a quick heads-up if it makes sense for your departments. Change is never easy, but we’re trying to make this as smooth as possible. Thanks for your leadership through all this—it hasn’t gone unnoticed! Let me know if you’d like to hop on a quick call before EOD to align. Otherwise, catch you both at the all-hands next week!",0,email_qwen3-max,"Jeff and John,  
Attached is the latest draft of the reorganization announcement. Cathy will have it ready to send out by tomorrow’s close of business. Just wanted to give you both an advance notice so you’re not caught off guard when it arrives in inboxes. We’ve aimed to keep the message clear yet reassuring—recognizing the changes while highlighting stability and opportunity. If either of you notices anything that seems off or needs adjustment, email Cathy as soon as possible; she’s conducting final proofreading this afternoon. Also, consider giving your teams a brief heads-up if it’s appropriate for your departments. Change is always challenging, but we’re working to make this transition as seamless as possible. Thank you for your leadership throughout this process—it’s been greatly appreciated! Let me know if you’d like to join a quick call before the end of the day to sync up. Otherwise, I’ll see you both at the all-hands meeting next week!"
