col0,col1,col2,col3
"Effects of acute administration of phentermine, alone or in combination with dexfenfluramine, on pain reactivity in the adult rat.In the 1990s, phentermine was combined with either fenfluramine or its active enantiomer dexfenfluramine to promote weight loss. Appetite suppressants are known to alter pain reactivity. The current experiment examined the acute impact of phentermine (0, 2.5, 5, 10, or 20 mg/kg) on paw-lick/jump latencies recorded just before and at 10, 20, and 30 min after phentermine injection. In addition, separate groups of rats were treated with 1, 2, or 4 mg/kg dexfenfluramine or with selected combinations of phentermine with dexfenfluramine. Phentermine induced significant analgesia in rats at a dose of 2.5 mg/kg, whereas only the 4.0 mg/kg dose of dexfenfluramine induced significant analgesia. Combinations of 1 mg/kg dexfenfluramine or 2 mg/kg dexfenfluramine with phentermine were mostly additive in terms of changes in analgesia scores. The present results characterize the analgesic action of phentermine, further confirm the analgesic action of dexfenfluramine and suggest an additive analgesic effect for the combination of dexfenfluramine with phentermine.",1,pubmed_title_abstracts_2019_baseline_human,"Impact of acute phentermine administration, either alone or paired with dexfenfluramine, on pain responses in adult rats. During the 1990s, phentermine was often used alongside fenfluramine or its active form dexfenfluramine to aid weight reduction. Since appetite suppressants can influence pain sensitivity, this study tested the immediate effects of phentermine (0, 2.5, 5, 10, or 20 mg/kg) on paw-lick/jump latencies measured before and 10, 20, and 30 minutes after injection. Other rat groups received 1, 2, or 4 mg/kg dexfenfluramine or specific phentermine-dexfenfluramine combinations. Phentermine produced notable analgesia at 2.5 mg/kg, while dexfenfluramine did so only at 4.0 mg/kg. Combining 1 mg/kg or 2 mg/kg dexfenfluramine with phentermine generally led to additive increases in analgesia. These findings outline phentermine's analgesic properties, reaffirm dexfenfluramine's analgesic effect, and indicate an additive analgesic outcome when dexfenfluramine is combined with phentermine."
"The mass of an electroweakly charged lepton consists of the two components ofelectric and weak nature, and regardless of the difference in masses, allleptons have an equal charge, the same charge radius as well as an identicalmagnetic moment. Between these currents there appear the most diverseconnections, for example, in their interactions with an electroweak field ofspinless nuclei. We derive the united equations which relate the structuralparts of mass to charge, charge radius and magnetic moment of each lepton as aconsequence of the ideas of flavor symmetry laws. Therefore, these ideasrequire the verification of the lepton universality from the point of view of aconstancy of the size implied from the multiplication of a weak mass of leptonby its electric mass. Such a principle gives the possibility to define thelepton weak masses. If this picture does not change, leptons universallyinteract not only with the photon or the weak boson but also with any of thecorresponding types of gauge fields.",1,arxiv_human,"The mass of a lepton with electroweak charge comprises both electric and weak components. Despite varying masses, all leptons share identical charge, charge radius, and magnetic moment. Diverse connections emerge between these currents, such as in their interactions with spinless nuclei in an electroweak field. We derive unified equations linking the structural mass components to each lepton's charge, charge radius, and magnetic moment, based on flavor symmetry principles. Consequently, these principles necessitate testing lepton universality through the constancy of a size parameter derived from multiplying the lepton's weak mass by its electric mass. This approach enables the definition of lepton weak masses. If this framework holds, leptons universally interact not just with photons or weak bosons, but with all corresponding gauge field types."
"We generalize the work of DeBacker and Reeder to the case of unitary groupssplit by a tame extension. The approach is broadly similar and the restrictionson the parameter the same, but many of the details of the arguments differ. Let $G$ be a unitary group defined over a local field $K$ and splitting overa tame extension $E/K$. Given a Langlands parameter $\varphi : \mathcal{W}_K\rightarrow {^L G}$ that is tame, discrete and regular, we give a naturalconstruction of an $L$-packet $\Pi_\varphi$ associated to $\varphi$, consistingof representations of pure inner forms of $G(K)$ and parametrized by thecharacters of the finite abelian group $A_\varphi =\operatorname{Z}_{\hat{G}}(\varphi)$.",1,arxiv_human,"We extend DeBacker and Reeder's results to unitary groups split by a tame extension. While the overall strategy is comparable and the parameter constraints remain unchanged, numerous specifics in the reasoning vary. Consider a unitary group $G$ over a local field $K$, splitting over a tame extension $E/K$. For a tame, discrete, and regular Langlands parameter $\varphi : \mathcal{W}_K \rightarrow {^L G}$, we provide a natural construction of an $L$-packet $\Pi_\varphi$ linked to $\varphi$. This packet comprises representations of pure inner forms of $G(K)$ and is parametrized by characters of the finite abelian group $A_\varphi = \operatorname{Z}_{\hat{G}}(\varphi)$."
"Lacunarity of the zero crossings of Gaussian processes.A lacunarity analysis of the zero crossings derived from Gaussian stochastic processes with oscillatory autocorrelation functions is evaluated and reveals distinct multiscaling signatures depending on the smoothness and degree of anticorrelation of the process. These bear qualitative similarities and quantitative distinctions from an oscillatory deterministic signal and a Poisson random process both possessing the same mean interval size between crossings. At very small and large scales compared with the correlation length of the random processes, the lacunarity is similar to the Poisson but exhibits significant departures from Poisson behavior if there is a zero-frequency component to the process's power spectrum. A comparison of exact results with the gliding box technique that is frequently used to determine lacunarity demonstrates its inherent bias.",1,pubmed_title_abstracts_2019_baseline_human,"Lacunarity of zero crossings in Gaussian processes. An analysis of lacunarity for zero crossings from Gaussian stochastic processes with oscillatory autocorrelation functions is performed, showing distinct multiscaling features that vary with the process smoothness and anticorrelation level. These display qualitative resemblances and quantitative differences compared to an oscillatory deterministic signal and a Poisson random process, both having identical mean intervals between crossings. At scales much smaller or larger than the correlation length of the random processes, lacunarity resembles the Poisson case but shows notable deviations if a zero-frequency component exists in the process power spectrum. Comparing exact results with the commonly used gliding box method for lacunarity assessment reveals its inherent bias."
"Gender identity and gender transposition: longitudinal outcome study of 24 male hermaphrodites assigned as boys. The longitudinal case histories of 24 male pseudohermaphrodites—individuals born with ambiguous genitalia but raised as males—reveal a complex tapestry of identity, resilience, and social navigation. Over decades of follow-up, researchers observed that while the majority maintained a male gender identity consistent with their rearing, a significant minority experienced profound dissonance, culminating in transitions to female identities or non-binary self-concepts. Medical records, psychological evaluations, and personal narratives converged to illustrate how biology, upbringing, and societal expectations intertwined in shaping each individual’s sense of self. Hormonal treatments, surgical interventions, and familial support emerged as pivotal factors influencing long-term well-being. Notably, those who felt empowered to explore their identities without stigma reported higher life satisfaction. This study underscores that gender assignment at birth, especially in cases of intersex variation, must be approached",0,academic_qwen3-max,"Gender identity and gender transposition: longitudinal outcome study of 24 male pseudohermaphrodites raised as boys. The longitudinal case histories of 24 individuals born with ambiguous genitalia but assigned male at birth reveal a complex interplay of identity, resilience, and social adaptation. Over decades of follow-up, researchers found that while most maintained a male gender identity aligned with their upbringing, a significant minority experienced deep-seated dissonance, leading to transitions to female identities or non-binary self-conceptions. Medical records, psychological assessments, and personal accounts collectively illustrated how biology, rearing, and societal norms combined to form each person's self-perception. Hormonal therapies, surgical procedures, and family support proved crucial in affecting long-term outcomes. Importantly, individuals who felt able to explore their identities free from stigma reported greater life satisfaction. This research highlights that gender assignment at birth, particularly in instances of intersex variation, requires careful consideration."
"Educators' views of eating disorder prevention programs.Further understanding of educators' views of eating disorder prevention can further engage them in this effort. No previous studies of educators have used acceptability methodology or compared eating disorder prevention to other prevention efforts. Educators (n = 135) rated the acceptability of five sample programs and provided their opinions about eating disorder and other prevention programs. The results indicated primarily psychoeducational and general well-being programs were most acceptable. Educators-specified trained professionals should implement programs during school hours to male and female junior high students. Although eating disorder prevention was perceived as important, it was not rated as vital as other programs, such as substance abuse prevention.",1,pubmed_title_abstracts_2019_baseline_human,"Educators' perspectives on eating disorder prevention initiatives. A deeper insight into educators' perceptions of eating disorder prevention can enhance their involvement in such initiatives. Prior research involving educators has not employed acceptability frameworks or contrasted eating disorder prevention with other preventive measures. Educators (n = 135) evaluated the acceptability of five example programs and shared their views on eating disorder and other prevention initiatives. Findings showed that primarily psychoeducational and general wellness programs were deemed most acceptable. Educators recommended that trained professionals deliver these programs during school hours to both male and female junior high students. While eating disorder prevention was considered important, it was not viewed as critical as other programs, like substance abuse prevention."
"When a wiring pattern is formed on a wiring board utilizing electroplating, an unnecessary portion is removed by proceeding as follows. First electroless plating layers are formed on both sides of an insulating substrate, which are covered with metallic foils in advance. On the first electroplating layers, wiring patterns are formed by etching so as not to extend to the end edge of the substrate. Then, a plating resist pattern is formed so that only a predetermined portion of the wiring patterns is exposed and a second electroplating layer is formed on the predetermined portion of the wiring patterns by supplying electric power from second electroless plating layers. Finally, the plating resist pattern and the second electroless plating layers are removed, and a solder resist is formed so that predetermined portions of the wiring patterns are exposed.",1,big_patent_human,"In the process of forming wiring patterns on a circuit board through electroplating, excess material is eliminated by the following steps. Initially, electroless plating layers are applied to both surfaces of an insulating base that has been pre-coated with metal foils. Wiring patterns are then etched onto these first plating layers, ensuring they do not reach the substrate's outer edges. Next, a plating resist pattern is created to expose only specific sections of the wiring patterns, and a second electroplating layer is deposited on these exposed areas by applying electrical current from additional electroless plating layers. To conclude, the plating resist pattern and the secondary electroless plating layers are stripped away, and a solder resist is applied, leaving designated parts of the wiring patterns uncovered."
"Growth Hormone Treatment for Prader-Willi Syndrome.The European Marketing Authorization for recombinant human growth hormone (rhGH) in children with Prader-Willi syndrome was the first indication for metabolic and body composition effects in children. In the US it is indicated for short stature associated with PWS. Recombinant hGH is the first treatment for the PWS population and radically changed the care of these children by facilitating access to physicians who prescribe rhGH, mainly paediatric endocrinologists, and manage the organization of multidisciplinary care. Recombinant hGH treatment improved linear growth, body composition, and socialization not only in children but also in young adults. The pathophysiology of combined hormonal deficiencies including GH is starting to be unravelled. We now have to focus on co-morbidities that are not modified by rhGH treatment, such as feeding disorders and behaviour problems, to truly change the life of patients. The transition of care from adolescents to young adults also remains a challenge.",1,pubmed_title_abstracts_2019_baseline_human,"Growth hormone therapy for Prader-Willi syndrome. The European approval of recombinant human growth hormone (rhGH) for children with Prader-Willi syndrome marked the first indication targeting metabolic and body composition effects in pediatric patients. In the United States, it is approved for short stature linked to PWS. Recombinant hGH represents the initial therapy for the PWS population and fundamentally transformed patient care by enabling access to prescribing physicians, primarily pediatric endocrinologists, and supporting the coordination of multidisciplinary care. This treatment enhanced linear growth, body composition, and social interaction in both children and young adults. The underlying mechanisms of combined hormonal deficiencies, including growth hormone, are beginning to be understood. Current efforts must address co-morbidities unaffected by rhGH therapy, like feeding issues and behavioral challenges, to meaningfully improve patients' lives. Additionally, the transition from adolescent to adult care continues to pose significant difficulties."
"The present invention provides a method of increasing DDR memory bandwidth in DDR SDRAM modules. DDR memory has an inherent feature called the Variable Early Read command, where the read command is issued one CAS latency before the termination of an ongoing data burst By using the Variable Early Read command the effect of the CAS latency is minimized in terms of the effect on bandwidth. The enhanced bandwidth technology achieved with this invention optimizes the remaining two access latencies (t RP and t RCD ) for optimal bandwidth. These optimizations in the SPD allow for much better bandwidth in real world applications.",1,big_patent_human,"This invention introduces a technique to enhance DDR memory bandwidth within DDR SDRAM modules. DDR memory incorporates a characteristic known as the Variable Early Read command, which issues a read command one CAS latency prior to the conclusion of an active data burst. Employing the Variable Early Read command significantly reduces the impact of CAS latency on overall bandwidth. The bandwidth improvement realized through this invention also refines the other two access latencies (tRP and tRCD) to maximize bandwidth. These adjustments in the SPD enable substantially improved bandwidth for practical applications."
"[Mortality from work-related accidents among agricultural workers in Brazil, 2000–2010]. This study estimated annual mortality from work-related injuries in the agricultural sector during the first decade of the twenty-first century. Utilizing data from Brazil’s Mortality Information System (SIM), researchers analyzed trends and demographic patterns among fatalities classified as occupational accidents. Findings revealed a persistently high mortality rate, particularly among male workers aged 20 to 59, with machinery-related incidents and pesticide exposure emerging as leading causes. Regional disparities were evident, with higher fatality rates in the South and Midwest—areas characterized by intensive agribusiness activity. Despite national efforts to improve workplace safety and regulatory enforcement, the data suggest limited progress in reducing fatal outcomes over the study period. The results underscore the urgent need for targeted interventions, including enhanced safety training, stricter oversight of hazardous practices, and improved access to protective equipment. Addressing these systemic issues is critical to safeguarding the health and lives of",0,academic_qwen3-max,"""[Mortality from work-related accidents among agricultural workers in Brazil, 2000–2010]. This research calculated yearly death rates from occupational injuries in agriculture during the initial ten years of the 21st century. Using records from Brazil’s Mortality Information System (SIM), the team examined trends and demographic characteristics of deaths recorded as work-related accidents. The analysis showed consistently elevated mortality, especially among male workers between 20 and 59 years old, where incidents involving machinery and exposure to pesticides were predominant causes. Regional differences were clear, with higher death rates in the South and Midwest—regions marked by intensive agricultural business operations. Although nationwide initiatives aimed at enhancing workplace safety and regulatory compliance exist, the information indicates restricted advancement in lowering fatal incidents across the studied years. The findings highlight a pressing requirement for focused measures, such as better safety education, more rigorous monitoring of dangerous activities, and increased availability of protective gear. Tackling these fundamental problems is essential to protecting the well-being and lives of"""
