text,label,source,rewrite
"To evaluate the efficacy of a Social Cognitive Theory-based Internet intervention designed to promote and maintain leisure-time physical activity in university-aged female students in Thailand . The 3-month intervention was delivered through a website and e-mails with a follow-up evaluation 3 months after the end of the intervention . Female students ( N = 220 ) were allocated to 4 parallel groups . Significant increases in steps / day , weekly leisure-time activity score , self-efficacy , outcome expectations , and self-regulation , and reduced resting heart rate were observed at the end of the intervention . With the exception of resting heart rate , the intervention effects on these variables also remained at the follow-up . The Internet intervention program was effective in promoting and maintaining leisure-time physical activity in university-aged female students .",1,Human_pubmed,"This study assessed the effectiveness of an Internet intervention grounded in Social Cognitive Theory, aimed at encouraging and sustaining leisure-time physical activity among university-aged female students in Thailand. The 3-month program was implemented via a website and email, with a follow-up assessment conducted 3 months post-intervention. Participants (N = 220) were assigned to four parallel groups. By the intervention's conclusion, significant improvements were noted in daily step count, weekly leisure-time activity scores, self-efficacy, outcome expectations, and self-regulation, alongside a decrease in resting heart rate. Except for resting heart rate, the positive effects on these measures persisted at follow-up. The Internet-based program proved effective in promoting and maintaining leisure-time physical activity in this student population."
"Increased utilization of online medical information seeking demands investigation of potentially detrimental effects of these activities . The present study investigated whether viewing medical websites may adversely affect anxiety sensitivity ( AS ) , a well-established risk factor for the development of psychopathology . Participants ( N = 52 ) were randomly assigned to view medical symptom related websites or general health and wellness control websites . AS was measured before and after the website viewing . Individuals in the medical website group reported higher AS compared to the control group at post-manipulation after controlling for baseline health anxiety and baseline AS . Additionally , intolerance of uncertainty ( IU ) , an individual difference variable assessing negative beliefs about uncertainty , significantly moderated this effect such that medical website viewing only affected AS in participants with high IU but not in participants with low IU . The limitations of the current study include the lack of individualization of the website viewing and the short duration of the website viewing . The results of this study provide initial evidence that exposure to online medical information could increase risk for anxiety psychopathology in individuals with elevated IU . Additionally , these results provide support for a learning based model of the etiology of AS .",1,Human_pubmed,"Growing reliance on online medical information necessitates examining potential negative impacts of these behaviors. This study explored whether accessing medical websites might negatively influence anxiety sensitivity (AS), a recognized risk factor for psychopathology development. Participants (N = 52) were randomly assigned to view either medical symptom-related websites or general health and wellness control sites. AS was assessed before and after website exposure. After adjusting for baseline health anxiety and baseline AS, the medical website group showed higher AS than the control group post-intervention. Furthermore, intolerance of uncertainty (IU), a trait measuring negative views about uncertainty, significantly moderated this effect, with medical website viewing affecting AS only in high-IU participants, not in low-IU individuals. Study limitations include non-individualized website content and brief exposure duration. These findings offer preliminary evidence that online medical information exposure may elevate anxiety psychopathology risk in those with high IU. They also lend support to a learning-based model for AS etiology."
"To determine the effects of Thai massage on muscle spasticity in young people with cerebral palsy . Young people with spastic diplegia , aged 6-18 years old , were recruitedfrom the Srisungwan School in Khon Kaen Province . Spasticity of right quadriceps femoris muscles was measured using Modified Ashworth Scale ( MAS ) at pre - and immediately post 30-minute session of Thai massage . Thai massage was applied on the lower back and lower limbs . Wilcoxon Signed Ranks test was used to compare the outcome between pre - and post treatment . Seventeen participants with spastic diplegia aged 13.71 + / - 3.62 years old participated . A significant difference of MAS was observed between pre - and post treatment ( 1 + , 1 ; p < 0.01 ) . No adverse events were reported . Thai massage decreased muscle spasticity and is suggested to be an alternative treatmentfor reducing spasticity in young people with cerebral palsy .",1,Human_pubmed,"This study assessed the impact of Thai massage on muscle spasticity in youth with cerebral palsy. Adolescents with spastic diplegia, aged 6-18 years, were enrolled from Srisungwan School in Khon Kaen Province. Spasticity in the right quadriceps femoris was evaluated using the Modified Ashworth Scale (MAS) before and right after a 30-minute Thai massage session applied to the lower back and lower limbs. The Wilcoxon Signed Ranks test compared pre- and post-treatment outcomes. Seventeen participants with spastic diplegia, averaging 13.71 ± 3.62 years, took part. A statistically significant difference in MAS scores was found between pre- and post-treatment (1+, 1; p < 0.01). No adverse events occurred. Thai massage reduced muscle spasticity, indicating its potential as an alternative therapy for decreasing spasticity in young individuals with cerebral palsy."
"At present , school-age children suffer high levels of chronic stress that could produce potentially long-lasting effects . The aim of this pilot study was to evaluate the effects of mind-body integration practices and cooperative activities on stress levels and social interaction in 7 - to 9-year-old children . We performed an intervention program once a week during 2 months in which children performed mind-body integration practices and cooperative activities . Our findings showed that these practices reduced cortisol levels and increased social connectedness . Moreover , we found that most of the children used the learned mind-body integration practices in stressful situations in their homes , even 5 months after the intervention . Our results demonstrated the positive impact of these helpful tools and the great plasticity of children 's behavior , which enabled them to incorporate healthy habits . Overall , the intervention enhanced health at an individual level and favored social network diversity at a group level . Our research illustrates how children can incorporate techniques that help them cope with stressful moments and reveals the effectiveness of this experience in reducing cortisol levels . This study contributes to the understanding of how mind-body integration practices and social connectedness can be helpful in reducing chronic stress , a topic that , to the best of our knowledge , has been little studied in children .",1,Human_pubmed,"Currently, school-age children experience significant chronic stress that may lead to enduring consequences. This pilot study aimed to assess the impact of mind-body integration practices and cooperative activities on stress and social interaction among children aged 7 to 9 years. An intervention program was conducted weekly over two months, involving mind-body exercises and group cooperation. Results indicated that these activities lowered cortisol levels and boosted social connectedness. Additionally, most children applied the learned mind-body techniques in stressful home situations, even five months post-intervention. The findings highlight the benefits of these tools and children's behavioral adaptability, allowing them to adopt healthy habits. The intervention improved individual well-being and promoted diverse social networks at the group level. This research shows how children can adopt strategies to manage stress and confirms the effectiveness of such practices in lowering cortisol. It advances knowledge on how mind-body integration and social connectedness can alleviate chronic stress, a subject that remains underexplored in children."
"ADHD affects between 2 % and 8 % of college students and is associated with broad functional impairment . No prior randomized controlled trials with this population have been published . The present study is a pilot randomized controlled trial evaluating dialectical behavior therapy ( DBT ) group skills training adapted for college students with ADHD . Thirty-three undergraduates with ADHD between ages 18 and 24 were randomized to receive either DBT group skills training or skills handouts during an 8-week intervention phase . ADHD symptoms , executive functioning ( EF ) , and related outcomes were assessed at baseline , post-treatment , and 3-month follow-up . Participants receiving DBT group skills training showed greater treatment response rates ( 59-65 % vs. 19-25 % ) and clinical recovery rates ( 53-59 % vs. 6-13 % ) on ADHD symptoms and EF , and greater improvements in quality of life . DBT group skills training may be efficacious , acceptable , and feasible for treating ADHD among college students . A larger randomized trial is needed for further evaluation .",1,Human_pubmed,"ADHD impacts approximately 2% to 8% of college students and is linked to significant functional difficulties. No previous randomized controlled trials focusing on this group have been reported. This pilot randomized controlled trial examines dialectical behavior therapy (DBT) group skills training tailored for college students with ADHD. Thirty-three undergraduates with ADHD, aged 18 to 24, were randomly assigned to either DBT group skills training or skills handouts over an 8-week intervention period. ADHD symptoms, executive functioning (EF), and related measures were evaluated at baseline, post-treatment, and a 3-month follow-up. Those in the DBT group demonstrated higher treatment response rates (59-65% vs. 19-25%) and clinical recovery rates (53-59% vs. 6-13%) for ADHD symptoms and EF, along with greater enhancements in quality of life. DBT group skills training appears promising, acceptable, and feasible for addressing ADHD in college students. A larger randomized trial is required for additional assessment."
"In spatial neglect , the functional benefit of rehabilitation methods is subject to debate . A few studies have reported that galvanic vestibular stimulation ( GVS ) is efficacious in spatial neglect . The objective of the present study was to establish whether the effects of GVS persist after the end of stimulation . Four patients with pathological rightward deviation in a bisection task at least three months after right hemisphere stroke . A single-blind , randomized crossover design was used to assess the effects of GVS on performance in line bisection and star cancellation tasks under three different conditions ( cathode-right , cathode-left and sham stimulation ) . There were no significant differences in the performance of either task following GVS ( relative to sham stimulation ) . Galvanic vestibular stimulation did not reduce spatial neglect symptoms in any of the stimulation conditions . Further studies are necessary to understand the disparity between our results and those reported in the literature . Repeated sessions , a higher current intensity and/or alternating-current stimulation may improve this method before it can be used clinically .",1,Human_pubmed,"In spatial neglect, the therapeutic value of rehabilitation approaches remains contentious. Some studies have indicated that galvanic vestibular stimulation (GVS) is effective for spatial neglect. This study aimed to determine if GVS effects continue after stimulation ceases. Four patients with persistent rightward deviation in a bisection task, at least three months post right hemisphere stroke, were included. A single-blind, randomized crossover design evaluated GVS impact on line bisection and star cancellation tasks across three conditions (cathode-right, cathode-left, and sham stimulation). No significant differences in task performance were observed after GVS (compared to sham stimulation). Galvanic vestibular stimulation did not alleviate spatial neglect symptoms under any stimulation condition. Additional research is needed to reconcile the discrepancy between our findings and existing literature. Repeated sessions, increased current intensity, and/or alternating-current stimulation might enhance this method for potential clinical application."
"To compare the effects of sprint training with or without ball carry on the sprint performance of elite rugby league players . Twenty-four elite rugby league players were divided into a ball-carry group ( BC ; n = 12 ) and a no-ball-carry group ( NBC ; n = 12 ) . The players of the BC group were required to catch and carry the ball under 1 arm during each sprint , whereas the NBC group performed sprints without carrying a ball . The 8-wk training intervention took place during the precompetitive phase of the season and consisted of 2 sessions/wk . Sprint performance was measured before and after the training intervention with 40-m linear sprints performed under 2 conditions : with and without ball carry . Split times of 10 , 20 , and 40 m were recorded for further analysis . A 3-way ( group time condition ) factorial ANOVA was performed to compare changes in sprint performance with and without the ball , before and after the training intervention for both BC and NBC training groups Results : The BC and NBC groups experienced similar improvements in 10 - , 20 - , and 40-m sprint times and accelerations , regardless of the condition under which the sprint tests were performed ( P = .19 ) . Sprint training while carrying a rugby ball is as effective as sprint training without carrying a rugby ball for improving the sprint performance of elite rugby league players .",1,Human_pubmed,"This study examined the impact of sprint training with or without ball carry on elite rugby league players' sprint performance. Twenty-four elite players were assigned to either a ball-carry group (BC; n=12) or a no-ball-carry group (NBC; n=12). The BC group performed sprints while catching and carrying a ball under one arm, whereas the NBC group sprinted without a ball. The 8-week intervention, conducted during the precompetitive season, involved two weekly sessions. Sprint performance was assessed via 40-m linear sprints, both with and without ball carry, before and after training. Split times at 10, 20, and 40 m were recorded. A three-way (group × time × condition) ANOVA was used to analyze changes. Results showed that both BC and NBC groups achieved comparable improvements in 10-, 20-, and 40-m sprint times and accelerations, irrespective of test condition (P=.19). Thus, sprint training with a rugby ball is equally effective as training without a ball for enhancing sprint performance in elite rugby league players."
"Musicians are a prone group to suffer from working-related musculoskeletal disorder ( WRMD ) . Conventional solutions to control musculoskeletal pain include pharmacological treatment and rehabilitation programs but their efficiency is sometimes disappointing . The aim of this research is to study the immediate effects of Tuina techniques on WRMD of professional orchestra musicians from the north of Portugal . We performed a prospective , controlled , single-blinded , randomized study . Professional orchestra musicians with a diagnosis of WRMD were randomly distributed into the experimental group ( n = 39 ) and the control group ( n = 30 ) . During an individual interview , Chinese diagnosis took place and treatment points were chosen . Real acupoints were treated by Tuina techniques into the experimental group and non-specific skin points were treated into the control group . Pain was measured by verbal numerical scale before and immediately after intervention . After one treatment session , pain was reduced in 91.8 % of the cases for the experimental group and 7.9 % for the control group . Although results showed that Tuina techniques are effectively reducing WRMD in professional orchestra musicians of the north of Portugal , further investigations with stronger measurements , double-blinding designs and bigger simple sizes are needed .",1,Human_pubmed,"Musicians are a group particularly susceptible to work-related musculoskeletal disorders (WRMD). Traditional approaches to managing musculoskeletal pain, such as medication and rehabilitation, often yield unsatisfactory results. This study investigates the immediate impact of Tuina techniques on WRMD among professional orchestra musicians in northern Portugal. A prospective, controlled, single-blinded, randomized trial was conducted. Professional musicians diagnosed with WRMD were randomly assigned to either an experimental group (n=39) or a control group (n=30). Through individual interviews, a Chinese diagnostic assessment was performed to select treatment points. The experimental group received Tuina at real acupoints, while the control group received treatment at non-specific skin points. Pain levels were assessed using a verbal numerical scale before and right after the intervention. Following a single session, pain reduction occurred in 91.8% of the experimental group and 7.9% of the control group. While findings indicate Tuina techniques effectively alleviate WRMD in these musicians, further research with more robust measures, double-blinded designs, and larger sample sizes is warranted."
"Rumination is one of the hallmark characteristics of both anxiety disorders and depression , and has been linked to deficient executive functioning , particularly working memory ( WM ) . Previous findings show that working memory capacity can be increased through training . The current study explored whether an adaptive stand-alone WM training could increase WMC and consequently reduce rumination , anxiety and depression by means of a double-blind randomized controlled trial in a sample of 98 patients with symptoms of anxiety and/or depression . No positive effect of training on WMC was found . In addition , the results show that a WM training was not associated with a reduction of rumination , depression , nor anxiety . The high drop-out rate in both groups ( 20.11 % from pre - to post-training ) and the overrepresentation of men and use of anti-depressants in the placebo group might have influenced the results . Furthermore , expectations and perceptions about the training might have interacted with performance on WM tasks . Overall , results show that a stand-alone WM training in patients with symptoms of anxiety and/or depression does not result in reduced rumination nor in reduced symptoms of depression and anxiety . We discuss potential explanations for these findings .",1,Human_pubmed,"Rumination is a key feature of both anxiety disorders and depression, and has been associated with impaired executive functioning, especially working memory (WM). Prior research indicates that working memory capacity can be enhanced through training. This study investigated whether an adaptive, stand-alone WM training could improve WMC and thereby decrease rumination, anxiety, and depression, using a double-blind randomized controlled trial with 98 participants showing anxiety and/or depression symptoms. No beneficial effect of the training on WMC was observed. Moreover, the findings indicate that WM training did not correlate with reductions in rumination, depression, or anxiety. The high attrition rate in both groups (20.11% from pre- to post-training), along with an overrepresentation of men and antidepressant use in the placebo group, may have affected the outcomes. Additionally, expectations and perceptions regarding the training could have interacted with performance on WM tasks. In summary, the results demonstrate that a stand-alone WM training in individuals with anxiety and/or depression symptoms does not lead to decreased rumination or reduced symptoms of depression and anxiety. Possible explanations for these results are discussed."
"To observe the sensitivity of stroke volume variation ( SVV ) for assessing volume change during induction period of general anesthesia . Patients who underwent orthopaedic surgery under general anesthesia and mechanical ventilation were divided into two groups randomly . Patients in the group were subjected to progressive central hypovolemia and correction of hypovolemia sequentially ; patients in the Group were exposed to hypervolemia alone . Each step was implemented after 5 minutes when the hemodynamics was stable . SVV and cardiac index ( CI ) were recorded , and Pearson 's product-moment correlation was used to analyze correlation between SVV and CI . Forty patients were included in this study , 20 cases in each group . For group patients , SVV was increased significantly along with blood volume reduction , and changes in CI were negatively correlated with changes in SVV ( r = -0.605 , P < 0.01 ) ; SVV decreased significantly along with correction of blood volume ; changes in CI were negatively correlated with changes in SVV ( r = -0.651 , P < 0.01 ) . For group patients , along with blood volume increase , SVV did not change significantly ; changes in CI revealed no significant correlation with changes in SVV ( r = 0.067 , P > 0.05 ) . SVV is a useful indicator for hypovolemia , but not for hypervolemia .",1,Human_pubmed,"To evaluate the sensitivity of stroke volume variation (SVV) in detecting volume changes during general anesthesia induction. Orthopaedic surgery patients under general anesthesia with mechanical ventilation were randomly assigned to two groups. One group underwent progressive central hypovolemia followed by volume correction; the other group experienced hypervolemia alone. Each phase was initiated after 5 minutes of hemodynamic stability. SVV and cardiac index (CI) were measured, and Pearson’s correlation was applied to assess their relationship. The study included 40 patients, with 20 in each group. In the hypovolemia group, SVV rose significantly as blood volume decreased, and CI changes were negatively correlated with SVV changes (r = -0.605, P < 0.01); SVV declined markedly with volume correction, and CI changes remained negatively correlated (r = -0.651, P < 0.01). In the hypervolemia group, SVV did not change significantly with increased blood volume, and no significant correlation was found between CI and SVV changes (r = 0.067, P > 0.05). SVV is a reliable marker for hypovolemia but not for hypervolemia."
