col0,col1,col2,col3
"Kevin Hurley, the Surrey PCC, said: We make a great team and I know he will make a real difference for the people of Surrey."" Mr Harris served for more than 30 years in the Met Police, reaching the rank of Chief Superintendent before he retired. He said: ""Kevin and I bring a shared passion for policing."" Mr Harris added: ""I am delighted that the Police and Crime Panel have agreed to confirm my appointment as Deputy Police and Crime Commissioner for Surrey."" After retiring, Mr Harris spent four years as assistant director at Westminster City Council and worked as a team leader for the Prince's Trust. He will receive a salary of £50,000.",1,xlsum_human,"Kevin Hurley, the Surrey PCC, stated: ""We form an excellent team, and I am confident he will significantly benefit Surrey's residents."" Mr. Harris dedicated over 30 years to the Met Police, achieving the rank of Chief Superintendent prior to his retirement. He remarked: ""Kevin and I share a deep commitment to policing."" Mr. Harris continued: ""I am pleased that the Police and Crime Panel has approved my appointment as Deputy Police and Crime Commissioner for Surrey."" Following retirement, Mr. Harris served four years as assistant director at Westminster City Council and led a team for the Prince's Trust. His salary will be £50,000."
"The six-week-old cub was found weak and lethargic in Llandysul in January, and weighed just 919 grams. She was fed through a syringe and looked after by RSPCA officer Ellie West, before being transferred to a pen owned by a local badger group. She will now be moved to a wildlife centre for at least a year before being returned to the wild. Ms West said: ""It was really touch and go for this poor otter cub, who was in a desperately sorry state when I rescued her. ""So much energy and emotion has gone into helping and rehabilitating her, and - thankfully - she responded well to being hand-reared. ""It is hoped we will be able to return her to where she belongs - the wild - sometime in 2018, which would mark an amazing turnaround from when I first rescued this cub in Llandysul.""",1,xlsum_human,"The six-week-old otter cub was discovered in Llandysul in January, frail and listless, weighing only 919 grams. She was syringe-fed and cared for by RSPCA officer Ellie West, then moved to a pen run by a local badger group. Next, she will spend at least a year at a wildlife centre before being released back into the wild. Ms West remarked: ""This poor otter cub was in a critical condition when I found her, and her survival was uncertain. ""A great deal of effort and dedication went into her recovery, and fortunately, she thrived under hand-rearing. ""We aim to release her to her natural habitat—the wild—sometime in 2018, which would be a remarkable recovery from her initial rescue in Llandysul."""
"NEW DELHI, India (CNN) -- At least 43 people are feared dead after a massive mudslide swept away three hamlets in northern India, authorities said Sunday. Two small villages were completely destroyed Saturday while one was partially knocked down, said Manoj Pande, a senior disaster management official in Pithoragarh district. Rescuers have pulled 15 bodies from the debris and many more may have been swept into the river, Pande said. More than 2.9 million people in India have been affected by floods since June, according to federal officials. Yearly monsoon rains sweep across the subcontinent from June till September. Though they bring much-needed relief to often-parched farmlands, they also leave a trail of landslides, home collapses and often fatal floods.",1,cnn_dailymail_human,"NEW DELHI, India (CNN) -- A major mudslide in northern India is feared to have killed at least 43 people after engulfing three hamlets, authorities reported Sunday. Two villages were entirely destroyed and a third was partly demolished on Saturday, stated Manoj Pande, a senior disaster official in Pithoragarh district. Rescuers have recovered 15 bodies from the wreckage, with many others possibly carried away by the river, Pande added. Federal officials report that over 2.9 million people in India have been impacted by flooding since June. Annual monsoon rains move across the subcontinent from June through September. While they provide crucial water for frequently arid agricultural lands, they also cause landslides, building collapses, and often deadly floods."
"Liam Adams, 63, formerly of Bernagh Drive, west Belfast, was sentenced to 16 years in jail in 2013 for raping his daughter. The abuse scandal put Gerry Adams, then Sinn Féin president, under intense public pressure and political scrutiny. Liam Adams, a former IRA member, was found guilty of a series of sexual assaults on Áine Tyrell. She waived her right to anonymity to speak out about the abuse in 2009. On Monday, the Department of Justice said: ""The Northern Ireland Prison Service can confirm the death in custody of a 63-year-old prisoner from Maghaberry Prison. ""The prisoner died on Monday morning...his next of kin have been informed. ""As is standard procedure, the PSNI and Prisoner Ombudsman have been informed.""",1,xlsum_human,"Liam Adams, 63, previously of Bernagh Drive in west Belfast, received a 16-year prison sentence in 2013 for raping his daughter. This abuse case subjected Gerry Adams, the Sinn Féin president at the time, to significant public pressure and political examination. Liam Adams, an ex-IRA member, was convicted of multiple sexual assaults against Áine Tyrell. In 2009, she gave up her anonymity to publicly discuss the abuse. On Monday, the Department of Justice stated: ""The Northern Ireland Prison Service confirms the death in custody of a 63-year-old inmate at Maghaberry Prison. The prisoner passed away on Monday morning...his family has been notified. Following standard protocol, the PSNI and Prisoner Ombudsman have been informed."""
"Yorkshire Ambulance Service had warned they warned it could be overwhelmed on Saturday and Sunday, when wintry weather hit the region. It said the most serious calls—those involving life-threatening emergencies like cardiac arrests, major trauma, or respiratory failure—would take absolute priority. Snow-laden roads snarled traffic across the Dales and moors, delaying response times as crews battled icy conditions and near-zero visibility. Dispatchers reported a surge in fall-related injuries among the elderly, while hypothermia cases climbed in isolated rural communities. Despite deploying additional 4x4 vehicles and urging the public to avoid non-essential travel, the service faced mounting pressure. “Every call matters,” a spokesperson stressed, “but in extreme weather, we must triage with urgency and care.” Residents were reminded to check on vulnerable neighbours and clear pathways, as even minor incidents strained already stretched resources. The weekend’s frosty grip tested resilience—but also revealed the quiet heroism of paramedics navigating whiteouts to save",0,news_qwen3-max,"The Yorkshire Ambulance Service had cautioned it risked being overwhelmed on Saturday and Sunday as wintry weather struck the region. It stated that the most serious calls—those for life-threatening emergencies such as cardiac arrests, major trauma, or respiratory failure—would receive absolute priority. Snow-covered roads caused traffic snarls across the Dales and moors, slowing response times as crews contended with icy conditions and near-zero visibility. Dispatchers noted a spike in fall-related injuries among older people, while hypothermia cases increased in remote rural communities. Despite fielding extra 4x4 vehicles and advising the public against non-essential travel, the service came under growing strain. “Every call is important,” a spokesperson emphasized, “but during extreme weather, we must triage with both urgency and care.” Residents were asked to check on vulnerable neighbours and clear pathways, as even minor incidents taxed already stretched resources. The weekend’s frigid conditions tested resilience—and highlighted the quiet heroism of paramedics navigating whiteouts to save lives."
"The World Cup qualifier will come less than five months after their Euro 2016 Group C meeting in Paris.Northern Ireland will face the Germans in the return World Cup qualifier in Belfast on 5 October, 2017.The Northern Irish start their World Cup campaign in the Czech Republic on 4 September before hosting San Marino three days before the Hannover game.Germany were scheduled to face the Netherlands in Hannover two months ago but the game was called off shortly before the kick-off because of a security threat in the wake of the Paris attacks four days earlier.The last meeting between Northern Ireland and Germany saw the Germans earning a 4-1 win in a Belfast friendly in 2005.In addition to Germany and the Czech Republic, Azerbaijan and Norway are also in Northern Ireland's World Cup qualifying group.",1,xsum_human,"The World Cup qualifier follows less than five months after their Euro 2016 Group C match in Paris. Northern Ireland will meet Germany in the return World Cup qualifier in Belfast on 5 October 2017. Their World Cup campaign begins in the Czech Republic on 4 September, then they host San Marino three days prior to the Hannover fixture. Germany had been set to play the Netherlands in Hannover two months earlier, but the match was canceled shortly before kickoff due to a security threat following the Paris attacks four days before. The most recent encounter between Northern Ireland and Germany ended in a 4-1 friendly win for Germany in Belfast back in 2005. Alongside Germany and the Czech Republic, Azerbaijan and Norway are also part of Northern Ireland's World Cup qualifying group."
"Southampton are considering Lorient centre-back Bruno Ecuele Manga, 25, as they consider their next move with wantaway defender Dejan Lovren. The club are drawing up contingency plans in case they are forced into a climb down over Dejan Lovren. Southampton are making plans to rebuild their squad and don't intend to sell Lovren even if he goes on strike. VIDEO Lovren criticises Saints over Liverpool bid . Show of strength: Bruno Ecuele Manga (left) vies with Mbaye Niang during a French game this year . Head gone: Dejan Lovren is ready to join Liverpool after criticising Southampton . However, ultimately that may not prove healthy for the club. Liverpool are threatening to move on to other targets if there is no change on Lovren soon. Manga ironically was a player watched by Liverpool last year. The 25-year-old Gabon international was also a target for Everton. This time round, Borussia Monchengladbach and Lazio are also monitoring Manga who was Laurent Koscielny's replacement.",1,cnn_dailymail_human,"Southampton are eyeing Lorient defender Bruno Ecuele Manga, 25, as they weigh their options regarding unsettled centre-back Dejan Lovren. The club is preparing backup strategies should they need to relent in the Lovren situation. Southampton are focused on reshaping their team and plan to retain Lovren even if he refuses to play. VIDEO Lovren slams Saints over Liverpool offer . Display of ability: Bruno Ecuele Manga (left) competes with Mbaye Niang in a Ligue 1 match this season . Lost patience: Dejan Lovren aims to switch to Liverpool after criticizing Southampton . Yet, in the long run, that stance might harm the club. Liverpool warn they could pursue alternatives if no progress is made on Lovren shortly. Ironically, Manga was scouted by Liverpool the previous year. The Gabonese international, also pursued by Everton, is now attracting interest from Borussia Monchengladbach and Lazio as the successor to Laurent Koscielny."
"Ministers have launched a consultation on an exemption to give governors power to permit smoking in designated cells.Health Minister Mark Drakeford said prisoners and staff - whether smokers or not - needed to be protected from potential damage to their health.Governors have warned that banning smoking could make jails more unstable.The exemption would take effect in February 2016, and run until April 2017, when prisons are due to be completely smoke-free.The consultation, which runs until November, will ask whether prisoners should be allowed a formal exemption from the smoking ban, in line with legislation covering jails in England.""Moving to a completely smoke-free prison estate will improve the health of all inmates and staff,"" said Mr Drakeford.""But it must be managed in a way that will not increase the risk to the operational security of Welsh prisons.""The proposed regulations are one way in which we can support prisons to achieve that goal in a managed way.""",1,xsum_human,"Ministers have initiated a consultation on an exemption allowing governors to authorize smoking in specific cells. Health Minister Mark Drakeford stated that both prisoners and staff, regardless of smoking habits, must be shielded from possible health risks. Governors have cautioned that prohibiting smoking might heighten instability in jails. This exemption would be implemented in February 2016 and remain until April 2017, by which time prisons are scheduled to become entirely smoke-free. The consultation, open until November, will seek opinions on whether prisoners should receive a formal exemption from the smoking ban, consistent with laws for English prisons. ""Transitioning to a fully smoke-free prison system will enhance the health of all inmates and staff,"" Mr. Drakeford remarked. ""However, it must be handled without raising threats to the operational security of Welsh prisons. The suggested regulations offer a method to assist prisons in reaching that objective in a controlled manner."""
"By . Daily Mail Reporter . Kidnap victim Natascha Kampusch, pictured, has become a recluse because of the 'horror' of contact with other people. The 26-year-old Austrian has given up her studies and no longer has driving lessons because she panics when she sees her instructor. She says she no longer wants children and rarely makes new friends – ending her Facebook presence and seldom using Twitter. Natascha Kampusch was kidnapped at the age of 10 and held captive for eight and a half years . Miss Kampusch was upbeat about her future after freeing herself from Wolfgang Priklopil in 2006 after being kept prisoner for more than eight years. But nerves have now destroyed her chances of an education. 'The regular contact with fellow students was really a horror scenario for me,' she said. The story of her ordeal was recently made into a film starring Irish actress Antonia Campbell-Hughes. Miss Kampusch has also put on weight significantly, in contrast with wafer-thin Campbell-Hughes who admitted she went on a massive diet in order to portray the kidnap victim in 3,096 Days. Irish actress Antonia Campbell Hughes portrayed the kidnap victim in 3,096 Days .",1,cnn_dailymail_human,"By Daily Mail Reporter. Natascha Kampusch, pictured, has turned into a recluse due to the 'horror' of interacting with others. The 26-year-old Austrian has abandoned her studies and stopped driving lessons, as she panics upon seeing her instructor. She states she no longer desires children and rarely forms new friendships—closing her Facebook account and scarcely using Twitter. Natascha Kampusch was abducted at age 10 and held captive for eight and a half years. After freeing herself from Wolfgang Priklopil in 2006, following over eight years of imprisonment, Miss Kampusch was optimistic about her future. Yet anxiety has since ruined her educational prospects. ""The constant contact with fellow students was truly a horror scenario for me,"" she explained. Her harrowing experience was recently adapted into a film featuring Irish actress Antonia Campbell-Hughes. Miss Kampusch has also gained considerable weight, unlike the wafer-thin Campbell-Hughes, who confessed to undergoing an extreme diet to portray the kidnap victim in ""3,096 Days."" Irish actress Antonia Campbell-Hughes played the kidnap victim in ""3,096 Days."""
"Heather Foggo, 48, became unwell during the Mighty Deerstalker event in the Scottish Borders on Saturday evening. She was taken to Borders General Hospital, where she remains in serious condition. While details remain scarce, the incident raises troubling questions about safety protocols at large-scale outdoor festivals. The Mighty Deerstalker, marketed as a family-friendly celebration of music and local culture, draws thousands annually—yet reports suggest minimal on-site medical presence and inadequate emergency response coordination. Organizers tout “community spirit” while cutting corners on essential health infrastructure. This isn’t the first time concerns have been voiced: past editions saw complaints about overcrowding and poor sanitation, all ignored in favor of profit margins. Foggo’s collapse should serve as a stark wake-up call. When entertainment overshadows attendee welfare, tragedies become not just possible—but probable. Authorities must demand transparency and enforce stricter regulations before another life is jeopardized for the sake of a weekend spectacle.",0,news_qwen3-max,"Heather Foggo, 48, fell ill while participating in the Mighty Deerstalker event in the Scottish Borders on Saturday night. She was transported to Borders General Hospital and is currently in serious condition. With few details available, the situation prompts serious concerns regarding safety measures at major outdoor festivals. Marketed as a family-oriented celebration of music and regional culture, the Mighty Deerstalker attracts thousands each year—however, accounts indicate insufficient medical staff on-site and poorly coordinated emergency responses. Event promoters emphasize ""community spirit"" yet compromise on vital health provisions. This is not an isolated issue: previous iterations have faced criticism over overcrowding and sanitation problems, consistently overlooked in pursuit of financial gain. Foggo's breakdown ought to act as a clear warning. When amusement takes precedence over participant safety, disasters shift from being merely possible to likely. Regulatory bodies must insist on openness and implement more rigorous rules to prevent further endangerment for the sake of temporary entertainment."
