text,label,source,rewrite
Processing should be lawful where it is necessary in the context of a contract or the intention to enter into a contract.,0,human_priacy,Processing is lawful when it is required for the performance of a contract or the intention to form one.
This Regulation does not apply to the personal data of deceased persons. Member States may provide for rules regarding the processing of personal data of deceased persons.,0,human_priacy,This Regulation does not cover the personal data of deceased individuals. Member States may establish regulations concerning the handling of such data.
Article 16(2) TFEU mandates the European Parliament and the Council to lay down the rules relating to the protection of natural persons with regard to the processing of personal data and the rules relating to the free movement of personal data.,0,human_priacy,Article 16(2) of the TFEU requires the European Parliament and the Council to establish regulations concerning the protection of individuals regarding personal data processing and the free movement of such data.
"In order to fulfil the objectives of this Regulation, namely to protect the fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data and to ensure the free movement",0,human_priacy,"To achieve the goals of this Regulation, which are to safeguard the fundamental rights and freedoms of individuals, especially their right to personal data protection, and to guarantee the free movement"
This Regulation does not apply to the processing of personal data by a natural person in the course of a purely personal or household activity and thus with no connection to a professional or commercial activity. Personal or,0,human_priacy,"This Regulation does not apply to the processing of personal data by a natural person for purely personal or household purposes, without any link to a professional or commercial activity. Personal or"
"The controller should use all reasonable measures to verify the identity of a data subject who requests access, in particular in the context of online services and online identifiers. A controller should not retain personal data for the sole purpose of being able to react to potential requests.",0,human_priacy,"The controller must employ all reasonable methods to confirm the identity of a data subject seeking access, especially within online services and for online identifiers. Personal data should not be kept by a controller solely to address possible future requests."
The possibility for the controller or processor to use standard data-protection clauses adopted by the Commission or by a supervisory authority should prevent controllers or processors neither from including the,0,human_priacy,The option for the controller or processor to employ standard data-protection clauses approved by the Commission or a supervisory authority should not hinder controllers or processors from incorporating the
"In order to strengthen and harmonise administrative penalties for infringements of this Regulation, each supervisory authority should have the power to impose administrative fines. This Regulation should indicate",0,human_priacy,"To enhance and standardize administrative penalties for violations of this Regulation, each supervisory authority must possess the authority to levy administrative fines. This Regulation should specify"
The processing of personal data should also be regarded to be lawful where it is necessary to protect an interest which is essential for the life of the data subject or that of another natural person. Processing of personal data,0,human_priacy,The handling of personal data should also be considered lawful when it is essential to safeguard a vital interest for the life of the data subject or another individual. Processing of personal data
"Moreover, the processing of personal data by official authorities for the purpose of achieving the aims, laid down by constitutional law or by international public law, of officially recognised religious associations, is carried out on grounds of public interest.",0,human_priacy,"Furthermore, the handling of personal information by public bodies to fulfill objectives established by constitutional or international public law for officially recognized religious organizations is conducted based on public interest."
"The processor should assist the controller, where necessary and upon request, in ensuring compliance with the obligations deriving from the carrying out of data protection impact assessments and from prior consultation of the supervisory authority.",0,human_priacy,"The processor must help the controller, when needed and upon its request, to meet the obligations arising from conducting data protection impact assessments and from prior consultation with the supervisory authority."
"Where Member State law applies by virtue of public international law, this Regulation should also apply to a controller not established in the Union, such as in a Member State's diplomatic mission or consular post.",0,human_priacy,"Where national law is applicable under public international law, this Regulation shall also extend to controllers not established within the Union, for instance in a diplomatic mission or consular post of a Member State."
"This Regulation respects and does not prejudice the status under existing constitutional law of churches and religious associations or communities in the Member States, as recognised in Article 17 TFEU.",0,human_priacy,"This Regulation upholds and does not undermine the existing constitutional status of churches and religious associations or communities in the Member States, as acknowledged in Article 17 TFEU."
"When drawing up a code of conduct, or when amending or extending such a code, associations and other bodies representing categories of controllers or processors should consult relevant stakeholders, including data subjects where feasible, and have regard to submissions received and views expressed in response to such consultations.",0,human_priacy,"In establishing or revising a code of conduct, associations and groups representing controllers or processors ought to seek input from pertinent stakeholders, including data subjects when possible, and take into account the submissions and perspectives gathered from these consultations."
"The Commission should adopt immediately applicable implementing acts where available evidence reveals that a third country, a territory or a specified sector within that third country, or an international organisation does not ensure an adequate level of protection, and imperative grounds of urgency so require.",0,human_priacy,"The Commission must enact implementing acts with immediate effect when evidence indicates that a third country, territory, specific sector, or international organization fails to provide adequate protection, and urgent circumstances necessitate such action."
The application of pseudonymisation to personal data can reduce the risks to the data subjects concerned and help controllers and processors to meet their data-protection obligations. The explicit introduction of ‘pseudony­ misation’ in this Regulation is not intended to preclude any other measures of data protection.,0,human_priacy,The use of pseudonymisation on personal data can lower risks for the relevant data subjects and assist controllers and processors in fulfilling their data-protection duties. The specific inclusion of ‘pseudonymisation’ in this Regulation does not aim to exclude any other data protection measures.
"In order to demonstrate compliance with this Regulation, the controller or processor should maintain records of processing activities under its responsibility. Each controller and processor should be obliged to cooperate with the supervisory authority and make those records, on request, available to it, so that it might serve for monitoring those processing operations.",0,human_priacy,"To show adherence to this Regulation, controllers or processors must keep records of the processing activities they oversee. Every controller and processor is required to assist the supervisory authority and provide these records upon request, enabling the monitoring of such processing operations."
"A consultation of the supervisory authority should also take place in the course of the preparation of a legislative or regulatory measure which provides for the processing of personal data, in order to ensure compliance of the intended processing with this Regulation and in particular to mitigate the risk involved for the data subject.",0,human_priacy,Consultation with the supervisory authority should also occur during the preparation of any legislative or regulatory measure that involves personal data processing. This is to ensure the intended processing aligns with this Regulation and specifically to reduce the risks to the data subject.
"Where this Regulation provides for specifications or restrictions of its rules by Member State law, Member States may, as far as necessary for coherence and for making the national provisions comprehensible to the persons to whom they apply, incorporate elements of this Regulation into their national law.",0,human_priacy,"When this Regulation allows for specifications or limitations of its provisions through national legislation, Member States may, to the extent needed for consistency and to ensure clarity for those subject to the rules, integrate aspects of this Regulation into their domestic laws."
"Where personal data are processed for historical research purposes, this Regulation should also apply to that processing. This should also include historical research and research for genealogical purposes, bearing in mind that this Regulation should not apply to deceased persons.",0,human_priacy,"When personal data is used for historical research, this Regulation should also govern such processing. This encompasses historical research and genealogical studies, while noting that the Regulation does not apply to deceased individuals."
The European Data Protection Supervisor was consulted in accordance with Article 28(2) of Regulation (EC) No 45/2001 and delivered an opinion on 7 March 2012 (1).,0,human_priacy,The European Data Protection Supervisor was consulted as per Article 28(2) of Regulation (EC) No 45/2001 and issued an opinion on 7 March 2012 (1).
The independence of supervisory authorities should not mean that the supervisory authorities cannot be subject to control or monitoring mechanisms regarding their financial expenditure or to judicial review.,0,human_priacy,"The autonomy of oversight bodies should not imply that they are exempt from controls or monitoring of their financial outlays, nor from judicial scrutiny."
"For the purpose of consenting to the participation in scientific research activities in clinical trials, the relevant provisions of Regulation (EU) No 536/2014 of the European Parliament and of the Council (1) should apply.",0,human_priacy,"To consent to participation in scientific research within clinical trials, the applicable rules are those set forth in Regulation (EU) No 536/2014 of the European Parliament and of the Council (1)."
"Profiling is subject to the rules of this Regulation governing the processing of personal data, such as the legal grounds for processing or data protection principles. The European Data Protection Board established by this Regulation (the ‘Board’) should be able to issue guidance in that context.",0,human_priacy,"Profiling is governed by this Regulation's rules on personal data processing, including legal bases for processing and data protection principles. The European Data Protection Board created under this Regulation (the 'Board') should have the authority to provide guidance in this area."
"The main establishment of a controller in the Union should be the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union, in which case that other establishment should be considered to be",0,human_priacy,"The primary establishment of a controller within the Union should be its central administration, unless decisions regarding the purposes and means of processing personal data are made at another establishment of the controller in the Union, in which case that other establishment should be deemed as such."
"In order to enhance transparency and compliance with this Regulation, the establishment of certification mechanisms and data protection seals and marks should be encouraged, allowing data subjects to quickly assess the level of data protection of relevant products and services.",0,human_priacy,"To improve transparency and adherence to this Regulation, the promotion of certification frameworks along with data protection seals and marks should be supported, enabling data subjects to readily evaluate the data protection standards of associated products and services."
"In the context of the adoption of the Member State law on which the performance of the tasks of the public authority or public body is based and which regulates the specific processing operation or set of operations in question, Member States may deem it necessary to carry out such assessment prior to the processing activities.",0,human_priacy,"Within the framework of implementing national legislation that establishes the duties of a public authority or body and governs the specific processing operation or series of operations involved, Member States may consider it essential to conduct this evaluation before initiating the processing activities."
"Awareness-raising activities by supervisory authorities addressed to the public should include specific measures directed at controllers and processors, including micro, small and medium-sized enterprises, as well as natural persons in particular in the educational context. 4.5.2016 EN Official Journal of the European Union L 119/25",0,human_priacy,"Supervisory authorities' public awareness initiatives should incorporate targeted actions for controllers and processors, such as micro, small, and medium-sized businesses, along with individuals, especially within educational settings. 4.5.2016 EN Official Journal of the European Union L 119/25"
"Each supervisory authority should, where appropriate, participate in joint operations with other supervisory authorities. The requested supervisory authority should be obliged to respond to the request within a specified time period.",0,human_priacy,"Each supervisory authority ought to, when suitable, engage in joint activities with other supervisory bodies. The authority receiving the request must be required to reply within a designated timeframe."
